ablation,fold,metric,primary,ablation_value,degradation_positive_is_worse
no_pathway_bias,3,integrated_ipcw_ece,0.05273268332032244,0.03572740791411027,-0.01700527540621217
no_pathway_bias,4,integrated_ipcw_ece,0.033677141976982405,0.03568222390430717,0.0020050819273247644
no_pathway_bias,5,integrated_ipcw_ece,0.02682208289718735,0.03621085299883,0.00938877010164265
no_reconstruction_objective,1,c_index,0.7850380783410034,0.7798548468595848,0.0051832314814185265
no_reconstruction_objective,2,c_index,0.7777968656052099,0.7752858247224301,0.002511040882779758
no_reconstruction_objective,3,c_index,0.7963570860759408,0.7816320969031387,0.014724989172802072
no_reconstruction_objective,4,c_index,0.7891350258967305,0.7722608117601232,0.01687421413660728
no_reconstruction_objective,5,c_index,0.7795952288048082,0.7837354241625294,-0.004140195357721144
no_reconstruction_objective,1,cancer_stratified_c_index,0.6609993255395683,0.6487747302158273,0.012224595323740983
no_reconstruction_objective,2,cancer_stratified_c_index,0.6454569183028335,0.6376845219106174,0.007772396392216052
no_reconstruction_objective,3,cancer_stratified_c_index,0.6708661417322834,0.6424030329542141,0.028463108778069346
no_reconstruction_objective,4,cancer_stratified_c_index,0.6470399720312318,0.6270830905488871,0.019956881482344646
no_reconstruction_objective,5,cancer_stratified_c_index,0.6380244532070012,0.6591302374400726,-0.021105784233071412
no_reconstruction_objective,1,ibs,0.13460116182750068,0.13696491827388205,0.002363756446381371
no_reconstruction_objective,2,ibs,0.1368185496019908,0.13768652096770276,0.0008679713657119559
no_reconstruction_objective,3,ibs,0.13073443425611928,0.13262188449976653,0.001887450243647254
no_reconstruction_objective,4,ibs,0.1327019978723302,0.1394636805463165,0.006761682673986302
no_reconstruction_objective,5,ibs,0.14002694563299148,0.13985588292382872,-0.0001710627091627559
no_reconstruction_objective,1,mean_time_dependent_auc,0.818744228011904,0.8116948159363808,0.0070494120755232315
no_reconstruction_objective,2,mean_time_dependent_auc,0.8114046339221076,0.8089654514530654,0.002439182469042178
no_reconstruction_objective,3,mean_time_dependent_auc,0.8296537344427537,0.8128984722075493,0.016755262235204404
no_reconstruction_objective,4,mean_time_dependent_auc,0.8212384445035954,0.8034920472701557,0.017746397233439737
no_reconstruction_objective,5,mean_time_dependent_auc,0.8112915930477423,0.8164447413139105,-0.005153148266168195
no_reconstruction_objective,1,mean_cancer_stratified_time_dependent_auc,0.658458654226092,0.6928156263154344,-0.03435697208934241
no_reconstruction_objective,2,mean_cancer_stratified_time_dependent_auc,0.6740885847332052,0.6668992987120913,0.007189286021113905
no_reconstruction_objective,3,mean_cancer_stratified_time_dependent_auc,0.7159149201039748,0.6716760540158678,0.04423886608810701
no_reconstruction_objective,4,mean_cancer_stratified_time_dependent_auc,0.686497365910098,0.6544429635044683,0.032054402405629734
no_reconstruction_objective,5,mean_cancer_stratified_time_dependent_auc,0.6550722683873094,0.6862304753563616,-0.03115820696905225
no_reconstruction_objective,1,integrated_ipcw_ece,0.03172344245323376,0.04242730445305007,0.010703861999816308
no_reconstruction_objective,2,integrated_ipcw_ece,0.03591116243722868,0.026312363344084228,-0.009598799093144452
no_reconstruction_objective,3,integrated_ipcw_ece,0.05273268332032244,0.037018374192099364,-0.015714309128223074
no_reconstruction_objective,4,integrated_ipcw_ece,0.033677141976982405,0.04432518972690858,0.010648047749926177
no_reconstruction_objective,5,integrated_ipcw_ece,0.02682208289718735,0.0343705662839061,0.007548483386718749
no_structured_masking,1,c_index,0.7850380783410034,0.7792328590818146,0.005805219259188754
no_structured_masking,2,c_index,0.7777968656052099,0.761779079716345,0.016017785888864933
no_structured_masking,3,c_index,0.7963570860759408,0.7854088949247298,0.01094819115121104
no_structured_masking,4,c_index,0.7891350258967305,0.7660649066286086,0.023070119268121858
no_structured_masking,5,c_index,0.7795952288048082,0.7725533396426131,0.00704188916219517
no_structured_masking,1,cancer_stratified_c_index,0.6609993255395683,0.6324471672661871,0.0285521582733812
no_structured_masking,2,cancer_stratified_c_index,0.6454569183028335,0.6206896551724138,0.02476726313041966
no_structured_masking,3,cancer_stratified_c_index,0.6708661417322834,0.6191017789442986,0.0517643627879848
no_structured_masking,4,cancer_stratified_c_index,0.6470399720312318,0.6147884861904207,0.032251485840811056
no_structured_masking,5,cancer_stratified_c_index,0.6380244532070012,0.6421094437037247,-0.004084990496723506
no_structured_masking,1,ibs,0.13460116182750068,0.13453694338225172,-6.421844524895359e-05
no_structured_masking,2,ibs,0.1368185496019908,0.1412091764535849,0.004390626851594109
no_structured_masking,3,ibs,0.13073443425611928,0.1320755266899475,0.0013410924338282115
no_structured_masking,4,ibs,0.1327019978723302,0.14051025457944014,0.00780825670710994
no_structured_masking,5,ibs,0.14002694563299148,0.14672674842901828,0.006699802796026805
no_structured_masking,1,mean_time_dependent_auc,0.818744228011904,0.8127731104969509,0.0059711175149531615
no_structured_masking,2,mean_time_dependent_auc,0.8114046339221076,0.7950196654432751,0.01638496847883253
no_structured_masking,3,mean_time_dependent_auc,0.8296537344427537,0.8178668542201809,0.011786880222572793
no_structured_masking,4,mean_time_dependent_auc,0.8212384445035954,0.7958021850773276,0.025436259426267815
no_structured_masking,5,mean_time_dependent_auc,0.8112915930477423,0.8030593126621177,0.008232280385624624
