fold,condition,dropped_modalities,patients,events,c_index,cancer_stratified_c_index,ibs,mean_time_dependent_auc,delta_c_index_vs_all_observed,delta_cancer_stratified_c_index_vs_all_observed,delta_ibs_vs_all_observed,delta_mean_time_dependent_auc_vs_all_observed,degradation_c_index,degradation_cancer_stratified_c_index,degradation_ibs,degradation_mean_time_dependent_auc
3,all_observed,none,1885,532,0.7841679295094983,0.6780192596519127,0.1278973750295691,0.8124363408107281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,clinical_only,mrna+mirna+cnv,1885,532,0.7768897109401386,0.6651205936920223,0.1294068506613331,0.8040548923393956,-0.0072782185693597,-0.0128986659598904,0.0015094756317639,-0.0083814484713324,0.007278218569359729,0.01289866595989042,0.0015094756317639846,0.008381448471332487
3,drop_cnv,cnv,1885,532,0.7839380538015253,0.6775333510027387,0.1274260720521614,0.8126467498715866,-0.000229875707973,-0.0004859086491739,-0.0004713029774077,0.0002104090608584,0.00022987570797305956,0.0004859086491739717,-0.0004713029774077171,-0.0002104090608584519
3,drop_mirna,mirna,1885,532,0.7841484784880545,0.6777542185705451,0.128057538507544,0.8117568853498383,-1.945102144385036e-05,-0.0002650410813676,0.0001601634779748,-0.0006794554608898,1.9451021443850358e-05,0.00026504108136760074,0.0001601634779749006,0.0006794554608898773
3,drop_mrna,mrna,1885,532,0.778935604741098,0.6673292693700857,0.1299356738305825,0.8049574861002544,-0.0052323247684002,-0.0106899902818269,0.0020382988010133,-0.0074788547104737,0.005232324768400298,0.010689990281826933,0.0020382988010133885,0.007478854710473715
4,all_observed,none,1867,529,0.7885445306942185,0.6605692000557128,0.1263555026206789,0.821977678788688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,clinical_only,mrna+mirna+cnv,1867,529,0.7715967705567626,0.6458981382608292,0.1328333081804575,0.8036838092690274,-0.0169477601374559,-0.0146710617948836,0.0064778055597785,-0.0182938695196606,0.016947760137455914,0.014671061794883644,0.006477805559778588,0.01829386951966061
4,drop_cnv,cnv,1867,529,0.7897261195816896,0.6647476670226101,0.1266681545844415,0.8242905035988465,0.0011815888874711,0.0041784669668972,0.0003126519637625,0.0023128248101584,-0.0011815888874711078,-0.004178466966897276,0.00031265196376259463,-0.002312824810158487
4,drop_mirna,mirna,1867,529,0.7885113203556653,0.6592228051441571,0.1264776423373513,0.8221215181986901,-3.321033855319122e-05,-0.0013463949115557,0.0001221397166724,0.000143839410002,3.321033855319122e-05,0.0013463949115557483,0.00012213971667238144,-0.0001438394100020668
4,drop_mrna,mrna,1867,529,0.7770135515660422,0.6484052184409675,0.1299788868410351,0.8076246359292901,-0.0115309791281762,-0.0121639816147453,0.0036233842203562,-0.0143530428593978,0.011530979128176244,0.0121639816147453,0.003623384220356185,0.014353042859397869
5,all_observed,none,1911,570,0.7688773863686699,0.6543669462057681,0.1382354110004006,0.7977155269149323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,clinical_only,mrna+mirna+cnv,1911,570,0.7658566565211063,0.6599509102065862,0.1401624514931194,0.795769564600008,-0.0030207298475635,0.0055839640008181,0.0019270404927188,-0.0019459623149242,0.003020729847563519,-0.005583964000818176,0.0019270404927188012,0.0019459623149242766
5,drop_cnv,cnv,1911,570,0.7682556807755342,0.6528124360809981,0.1383579645260999,0.7977779324371413,-0.0006217055931356,-0.0015545101247699,0.0001225535256992,6.240552220904139e-05,0.0006217055931356796,0.0015545101247699256,0.00012255352569931488,-6.240552220904139e-05
5,drop_mirna,mirna,1911,570,0.768508792467396,0.6528533442421763,0.1382435635135036,0.7971350033849887,-0.0003685939012738,-0.0015136019635917,8.152513102988035e-06,-0.0005805235299436,0.0003685939012738615,0.0015136019635917375,8.152513102988035e-06,0.000580523529943644
5,drop_mrna,mrna,1911,570,0.7691036049432713,0.6643076293720597,0.1388342886365211,0.7986045835579356,0.0002262185746014,0.0099406831662915,0.0005988776361204,0.0008890566430033,-0.00022621857460147776,-0.009940683166291597,0.000598877636120515,-0.0008890566430033164
